Unnamed: 0,Order_Date,Season,Country,Category,Sub_Category,Product_Name,Unit_Price,Quantity,Discount,Revenue,Cost,Profit,Profit_Margin_%,Shipping_Cost,Shipping_Days,Payment_Method,Month,Year,revenue_per_unit,profit_per_unit,scost_per_revenue,net_revenue
31,2024-02-04,Winter,China,Beauty & Health,Supplements,Multivitamin Pack,54.82,2,0.3,76.75,63.37,13.38,17.43,5.6,17,Apple Pay,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000002024,38.375,6.69,0.07296416938110749,13.705357142857144
32,2022-10-10,Fall,Egypt,Clothing,Women's Wear,Maxi Skirt,28.23,2,0.1,50.81,29.38,21.43,42.18,7.08,10,Credit Card,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000002022,25.405,10.715,0.13934264908482583,7.176553672316384
33,2022-04-04,Spring,South Korea,Beauty & Health,Supplements,Collagen Peptides,45.29,4,0.0,181.16,92.76,88.4,48.8,17.85,22,Debit Card,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000002022,45.29,22.1,0.09853168469860897,10.149019607843137
34,2021-11-30,Fall,Japan,Beauty & Health,Skincare,Retinol Night Cream,27.55,9,0.2,198.36,147.7,50.66,25.54,7.79,24,Google Pay,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000002021,22.040000000000003,5.628888888888889,0.039272030651340994,25.463414634146343
35,2023-12-15,Winter,Jordan,Electronics,Smartphones,OnePlus 11,422.13,1,0.25,316.6,212.97,103.63,32.73,60.58,12,Cash on Delivery,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000002023,316.6,103.63,0.19134554643082752,5.226147243314625
36,2021-04-01,Spring,Saudi Arabia,Home & Kitchen,Appliances,Microwave Oven,35.23,4,0.3,98.64,65.62,33.02,33.48,16.72,17,PayPal,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000002021,24.66,8.255,0.1695052716950527,5.899521531100479
37,2023-10-25,Fall,Italy,Books & Media,Books,The Psychology of Money,13.79,3,0.5,20.68,20.04,0.64,3.09,88.34,7,Debit Card,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000002023,6.8933333333333335,0.21333333333333335,4.271760154738878,0.23409553995924834
38,2023-12-14,Winter,UK,Books & Media,Books,Deep Work,27.27,1,0.2,21.82,15.52,6.3,28.87,23.06,9,Cash on Delivery,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000002023,21.82,6.3,1.0568285976168652,0.9462272333044233
39,2023-01-02,Winter,UAE,Home & Kitchen,Kitchen Tools,Mixing Bowl Set,104.31,1,0.0,104.31,62.77,41.54,39.82,8.58,8,Bank Transfer,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000002023,104.31,41.54,0.0822548173712971,12.157342657342657
40,2024-03-10,Spring,South Korea,Beauty & Health,Skincare,Hyaluronic Acid,87.24,3,0.1,235.55,166.13,69.42,29.47,8.61,18,Debit Card,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000002024,78.51666666666667,23.14,0.03655274888558692,27.357723577235774
41,2022-12-04,Winter,Japan,Clothing,Women's Wear,Yoga Pants,98.56,1,0.2,78.85,54.3,24.55,31.14,34.63,21,Debit Card,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000002022,78.85,24.55,0.43918833227647436,2.2769275194917697
42,2022-11-13,Fall,South Korea,Home & Kitchen,Kitchen Tools,Non-stick Pan Set,84.74,1,0.05,80.5,40.31,40.19,49.93,40.72,25,Debit Card,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000002022,80.5,40.19,0.5058385093167702,1.9769155206286837
43,2023-11-11,Fall,Jordan,Beauty & Health,Skincare,Sunscreen SPF50,63.12,3,0.15,160.96,112.1,48.86,30.36,67.59,14,PayPal,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000002023,53.653333333333336,16.286666666666665,0.41991799204771374,2.3814173694333483
44,2024-04-06,Spring,Japan,Clothing,Women's Wear,Summer Dress,116.06,2,0.0,232.12,117.79,114.33,49.25,99.03,16,PayPal,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000002024,116.06,57.165,0.4266327761502671,2.343936180955266
45,2022-02-27,Winter,Italy,Electronics,Laptops,HP Spectre x360,686.48,3,0.0,2059.44,1268.63,790.81,38.4,18.09,14,Apple Pay,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000002022,686.48,263.6033333333333,0.008783941265586761,113.8441127694859
46,2023-12-05,Winter,Canada,Clothing,Men's Wear,Formal Shirt,113.81,2,0.25,170.72,110.22,60.5,35.44,2.59,3,Debit Card,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000002023,85.36,30.25,0.015171040299906279,65.91505791505791
47,2023-12-14,Winter,Spain,Clothing,Men's Wear,Chino Pants,95.27,2,0.4,114.32,119.82,-5.5,-4.81,5.6,12,Google Pay,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000002023,57.16,-2.75,0.0489853044086774,20.414285714285715
48,2023-06-03,Summer,Germany,Electronics,Smartphones,Samsung Galaxy S23,862.96,2,0.1,1553.33,1118.62,434.71,27.99,36.56,7,Bank Transfer,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000002023,776.665,217.355,0.02353653119427295,42.48714442013129
49,2021-07-14,Summer,India,Beauty & Health,Supplements,Whey Protein 2kg,30.05,1,0.1,27.05,19.86,7.19,26.58,47.72,16,PayPal,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000002021,27.05,7.19,1.764140480591497,0.566848281642917
50,2021-08-05,Summer,Jordan,Clothing,Women's Wear,High-Waist Jeans,27.43,3,0.0,82.29,56.6,25.69,31.22,12.03,11,Google Pay,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000002021,27.430000000000003,8.563333333333334,0.14619030258840685,6.840399002493767
51,2022-11-16,Fall,UAE,Beauty & Health,Supplements,Whey Protein 2kg,53.87,2,0.2,86.19,72.22,13.97,16.21,8.43,17,Google Pay,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000002022,43.095,6.985,0.09780717020536026,10.224199288256228
52,2024-05-01,Spring,South Korea,Clothing,Women's Wear,Yoga Pants,104.0,1,0.1,93.6,52.46,41.14,43.95,12.05,23,Cash on Delivery,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000002024,93.6,41.14,0.12873931623931625,7.767634854771783
53,2023-02-22,Winter,Canada,Home & Kitchen,Furniture,TV Stand,229.87,4,0.2,735.58,638.18,97.4,13.24,9.72,8,Cash on Delivery,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000002023,183.895,24.35,0.013214062372549552,75.67695473251028
54,2022-08-08,Summer,South Korea,Books & Media,Software,VPN Premium 1Y,32.47,1,0.3,22.73,18.14,4.59,20.19,8.05,14,Credit Card,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000002022,22.73,4.59,0.35415750109986804,2.8236024844720493
55,2022-10-20,Fall,USA,Books & Media,Books,The Psychology of Money,19.32,1,0.0,19.32,11.89,7.43,38.46,11.92,4,Bank Transfer,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000002022,19.32,7.43,0.6169772256728778,1.6208053691275168
56,2024-06-01,Summer,Italy,Books & Media,Software,VPN Premium 1Y,211.99,4,0.25,635.97,443.58,192.39,30.25,47.66,13,Debit Card,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000002024,158.9925,48.0975,0.0749406418541755,13.343894250944189
57,2023-08-31,Summer,China,Home & Kitchen,Kitchen Tools,Cutting Board Set,125.77,5,0.1,565.97,419.96,146.01,25.8,6.31,21,Debit Card,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000002023,113.194,29.201999999999998,0.011149000830432708,89.69413629160064
58,2024-01-11,Winter,South Korea,Clothing,Footwear,Vans Old Skool,85.03,1,0.2,68.02,39.38,28.64,42.11,9.91,14,Google Pay,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000002024,68.02,28.64,0.1456924433990003,6.8637739656912204
59,2024-04-12,Spring,Italy,Home & Kitchen,Appliances,Microwave Oven,56.92,2,0.25,85.38,51.75,33.63,39.39,22.24,9,Cash on Delivery,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000002024,42.69,16.815,0.260482548606231,3.8390287769784175
60,2024-01-15,Winter,Mexico,Books & Media,Software,Antivirus Pro,164.16,6,0.25,738.72,701.01,37.71,5.1,8.52,7,Credit Card,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000002024,123.12,6.285,0.011533463287849252,86.70422535211269
61,2022-11-20,Fall,Canada,Electronics,Tablets,Samsung Galaxy Tab S9,809.3,1,0.0,809.3,375.35,433.95,53.62,68.74,5,Bank Transfer,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000002022,809.3,433.95,0.08493760039540343,11.773348850741927
62,2022-08-07,Summer,Italy,Clothing,Men's Wear,Classic T-Shirt,79.0,2,0.2,126.4,100.47,25.93,20.51,26.97,9,Cash on Delivery,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000002022,63.2,12.965,0.21337025316455693,4.686688913607712
63,2024-01-24,Winter,Jordan,Home & Kitchen,Kitchen Tools,Storage Container Set,36.33,5,0.25,136.24,133.25,2.99,2.19,72.84,11,Credit Card,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000002024,27.248,0.5980000000000001,0.5346447445684087,1.870400878638111
64,2021-04-12,Spring,Japan,Beauty & Health,Supplements,Collagen Peptides,34.23,2,0.1,61.61,31.26,30.35,49.26,13.49,11,Cash on Delivery,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000002021,30.805,15.175,0.2189579613699075,4.567086730911786
65,2023-03-01,Spring,UK,Books & Media,Software,Microsoft Office 365,166.42,1,0.4,99.85,87.4,12.45,12.47,9.63,12,Credit Card,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000002023,99.85,12.45,0.09644466700050076,10.368639667705088
66,2022-02-27,Winter,Kuwait,Home & Kitchen,Kitchen Tools,Mixing Bowl Set,38.71,1,0.0,38.71,26.55,12.16,31.41,91.52,11,Bank Transfer,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000002022,38.71,12.16,2.364246964608628,0.42296765734265734
67,2024-06-22,Summer,Singapore,Electronics,Tablets,iPad Pro 12.9,283.72,1,0.05,269.53,200.89,68.64,25.47,54.52,22,Credit Card,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000002024,269.53,68.64,0.2022780395503284,4.943690388848128
68,2023-05-30,Spring,Mexico,Home & Kitchen,Kitchen Tools,Cutting Board Set,93.92,3,0.5,140.88,206.27,-65.39,-46.42,34.14,8,Bank Transfer,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000002023,46.96,-21.796666666666667,0.24233390119250428,4.126537785588752
69,2023-01-07,Winter,Jordan,Home & Kitchen,Kitchen Tools,Mixing Bowl Set,30.75,8,0.0,246.0,180.53,65.47,26.61,6.46,15,Debit Card,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000002023,30.75,8.18375,0.026260162601626016,38.080495356037154
70,2024-07-29,Summer,Canada,Books & Media,Software,Photo Editing Suite,190.72,1,0.0,190.72,136.48,54.24,28.44,9.51,7,Apple Pay,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000002024,190.72,54.24,0.04986367449664429,20.054679284963196
71,2023-05-12,Spring,UAE,Clothing,Women's Wear,Summer Dress,147.48,1,0.15,125.36,90.46,34.9,27.84,4.21,8,Bank Transfer,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000002023,125.36,34.9,0.0335832801531589,29.776722090261284
72,2022-10-14,Fall,UK,Books & Media,Books,Atomic Habits,33.6,1,0.05,31.92,25.09,6.83,21.4,37.59,8,Credit Card,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000002022,31.92,6.83,1.1776315789473684,0.8491620111731844
73,2023-08-12,Summer,USA,Clothing,Men's Wear,Chino Pants,41.32,2,0.0,82.64,39.91,42.73,51.71,10.37,6,PayPal,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000002023,41.32,21.365,0.1254840271055179,7.969141755062681
74,2021-10-05,Fall,Kuwait,Electronics,Laptops,Lenovo ThinkPad X1,1599.56,1,0.0,1599.56,948.34,651.22,40.71,11.78,10,Debit Card,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000002021,1599.56,651.22,0.007364525244442221,135.786078098472
75,2024-05-02,Spring,South Korea,Electronics,Smartphones,OnePlus 11,1062.57,1,0.2,850.06,696.86,153.2,18.02,18.49,20,PayPal,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000002024,850.06,153.2,0.02175140578312119,45.974040021633314
76,2022-04-10,Spring,India,Books & Media,Software,VPN Premium 1Y,248.76,2,0.3,348.26,267.9,80.36,23.07,17.79,16,Apple Pay,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000002022,174.13,40.18,0.0510825245506231,19.576166385609895
77,2024-09-26,Fall,Egypt,Beauty & Health,Supplements,Multivitamin Pack,62.42,1,0.15,53.06,36.08,16.98,32.0,40.6,14,Credit Card,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000002024,53.06,16.98,0.7651715039577837,1.306896551724138
78,2023-09-29,Fall,UAE,Electronics,Headphones,AirPods Pro,224.73,4,0.4,539.35,662.49,-123.14,-22.83,4.83,17,Debit Card,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000002023,134.8375,-30.785,0.008955223880597015,111.66666666666667
79,2022-08-19,Summer,China,Home & Kitchen,Furniture,Office Chair,380.52,3,0.05,1084.48,566.69,517.79,47.75,10.25,21,PayPal,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000002022,361.49333333333334,172.59666666666666,0.0094515343759221,105.8029268292683
80,2023-01-11,Winter,Egypt,Books & Media,Books,Thinking Fast and Slow,37.87,3,0.1,102.25,52.11,50.14,49.04,67.55,9,PayPal,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000002023,34.083333333333336,16.713333333333335,0.6606356968215159,1.5136935603256847
81,2023-08-31,Summer,France,Electronics,Smartphones,Google Pixel 7,493.62,2,0.2,789.79,578.62,211.17,26.74,86.08,14,PayPal,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000002023,394.895,105.585,0.10899099760695881,9.17506970260223
82,2022-01-03,Winter,South Korea,Books & Media,Books,Atomic Habits,18.16,5,0.5,45.4,52.41,-7.01,-15.44,60.78,13,Debit Card,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000002022,9.08,-1.402,1.3387665198237886,0.746956235603817
83,2022-11-23,Fall,USA,Books & Media,Software,Photo Editing Suite,173.44,1,0.0,173.44,89.52,83.92,48.39,29.04,6,Debit Card,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000002022,173.44,83.92,0.16743542435424355,5.972451790633609
84,2021-09-04,Fall,Spain,Electronics,Smartphones,OnePlus 11,972.31,2,0.0,1944.62,950.44,994.18,51.12,53.6,5,Credit Card,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000002021,972.31,497.09,0.02756322572019212,36.28022388059701
85,2023-10-03,Fall,Canada,Books & Media,Software,Photo Editing Suite,113.02,1,0.5,56.51,65.02,-8.51,-15.06,19.49,5,Credit Card,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000002023,56.51,-8.51,0.3448947089010794,2.899435608004105
86,2023-05-25,Spring,Egypt,Electronics,Laptops,Lenovo ThinkPad X1,1718.86,1,0.3,1203.2,814.04,389.16,32.34,29.99,9,Google Pay,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000002023,1203.2,389.16,0.024925199468085104,40.120040013337785
87,2023-09-09,Fall,Spain,Home & Kitchen,Furniture,Bookshelf 5-Tier,202.86,1,0.0,202.86,106.86,96.0,47.32,42.81,6,Cash on Delivery,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000002023,202.86,96.0,0.21103223898254952,4.738612473721093
88,2023-10-13,Fall,Saudi Arabia,Books & Media,Software,Photo Editing Suite,167.89,2,0.4,201.47,183.66,17.81,8.84,2.55,14,Google Pay,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000002023,100.735,8.905,0.012656971261229959,79.00784313725491
89,2024-06-12,Summer,Egypt,Home & Kitchen,Kitchen Tools,Non-stick Pan Set,56.91,1,0.25,42.68,26.25,16.43,38.5,14.67,8,Google Pay,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000002024,42.68,16.43,0.3437207122774133,2.9093387866394003
90,2022-12-15,Winter,UK,Electronics,Tablets,Huawei MatePad 11,769.25,1,0.15,653.86,485.78,168.08,25.71,2.83,10,Bank Transfer,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000002022,653.86,168.08,0.004328143639311168,231.04593639575972
91,2024-05-25,Spring,France,Electronics,Laptops,Lenovo ThinkPad X1,2482.87,5,0.3,8690.04,7533.33,1156.71,13.31,95.9,11,Credit Card,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000002024,1738.0080000000003,231.342,0.011035622390690952,90.61564129301355
92,2022-09-13,Fall,Kuwait,Home & Kitchen,Appliances,Blender Pro,55.52,3,0.5,83.28,94.27,-10.99,-13.2,30.0,16,Debit Card,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000002022,27.76,-3.6633333333333336,0.36023054755043227,2.7760000000000002
93,2024-01-24,Winter,Japan,Beauty & Health,Skincare,Hyaluronic Acid,66.71,2,0.0,133.42,72.43,60.99,45.71,40.1,12,Debit Card,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000002024,66.71,30.495,0.3005546394843352,3.3271820448877802
94,2023-06-08,Summer,China,Home & Kitchen,Furniture,Bookshelf 5-Tier,574.61,1,0.15,488.42,421.94,66.48,13.61,50.0,14,Google Pay,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000002023,488.42,66.48,0.10237091028213423,9.7684
95,2022-01-08,Winter,China,Books & Media,Books,Deep Work,36.29,6,0.4,130.64,106.54,24.1,18.45,25.43,15,Apple Pay,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000002022,21.77333333333333,4.016666666666667,0.19465707287201472,5.137239480928037
96,2024-04-22,Spring,France,Clothing,Women's Wear,Yoga Pants,55.61,3,0.25,125.12,86.79,38.33,30.63,9.23,8,Cash on Delivery,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000002024,41.70666666666667,12.776666666666666,0.07376918158567775,13.555796316359697
97,2022-12-13,Winter,UAE,Beauty & Health,Supplements,Vitamin D3,68.1,1,0.4,40.86,33.47,7.39,18.09,8.99,15,Credit Card,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000002022,40.86,7.39,0.22001957905041605,4.545050055617352
98,2023-11-08,Fall,Italy,Home & Kitchen,Furniture,Study Desk,156.62,6,0.2,751.78,448.73,303.05,40.31,96.52,11,Debit Card,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000002023,125.29666666666667,50.50833333333333,0.12838862433158638,7.7888520513883135
