Order_Date,Year,Month,Quarter,Season,Customer_Gender,Customer_Segment,Region,Country,Category,Sub_Category,Product_Name,Unit_Price,Quantity,Discount,Revenue,Cost,Profit,Profit_Margin_%,Shipping_Cost,Shipping_Method,Shipping_Days,Payment_Method,Order_Status,Order_Month,Order_Quarter,Order_Year,revenue_per_unit,profit_per_unit,scost_per_revenue,net_revenue
2021-02-13,2021,February,Q1,Winter,Female,Premium,Europe,France,Clothing,Women's Wear,Maxi Skirt,99.69,4,0.15,338.95,268.99,69.96,20.64,12.49,Standard,5,Debit Card,Delivered,2,1,2021,84.7375,17.49,0.03684909278654669,27.137710168134507
2021-02-13,2021,February,Q1,Winter,Male,Regular,Europe,France,Home & Kitchen,Appliances,Coffee Maker,146.43,1,0.0,146.43,76.09,70.34,48.04,13.26,Standard,12,PayPal,Returned,2,1,2021,146.43,70.34,0.09055521409547224,11.042986425339366
2021-02-14,2021,February,Q1,Winter,Male,New,Europe,UK,Clothing,Men's Wear,Chino Pants,98.07,1,0.05,93.17,70.61,22.56,24.21,30.48,Express,7,Apple Pay,Delivered,2,1,2021,93.17,22.56,0.32714393044971557,3.056758530183727
2021-02-16,2021,February,Q1,Winter,Male,Regular,Europe,Spain,Books & Media,Software,Microsoft Office 365,90.42,2,0.0,180.84,117.38,63.46,35.09,98.39,Overnight,7,Apple Pay,Processing,2,1,2021,90.42,31.73,0.544072107940721,1.837991665819697
2021-02-16,2021,February,Q1,Winter,Female,Regular,Europe,Germany,Clothing,Footwear,Vans Old Skool,142.63,3,0.05,406.5,224.08,182.42,44.88,45.05,Express,10,Bank Transfer,Delivered,2,1,2021,135.5,60.806666666666665,0.11082410824108241,9.023307436182021
2021-02-16,2021,February,Q1,Winter,Female,Regular,North America,USA,Beauty & Health,Skincare,Hyaluronic Acid,41.22,2,0.2,65.95,38.69,27.26,41.33,12.02,Standard,7,Google Pay,Processing,2,1,2021,32.975,13.63,0.1822592873388931,5.4866888519134775
2021-02-20,2021,February,Q1,Winter,Male,New,Middle East,UAE,Beauty & Health,Skincare,Vitamin C Serum,36.87,1,0.5,18.43,26.12,-7.69,-41.73,27.83,Express,7,PayPal,Delivered,2,1,2021,18.43,-7.69,1.5100379815518177,0.6622349982033777
2021-02-22,2021,February,Q1,Winter,Male,Premium,Middle East,Saudi Arabia,Clothing,Women's Wear,Blouse Top,73.91,2,0.05,140.43,85.63,54.8,39.02,19.97,Standard,12,Debit Card,Delivered,2,1,2021,70.215,27.4,0.1422060813216549,7.032048072108163
2021-02-26,2021,February,Q1,Winter,Male,New,Asia,Japan,Electronics,Laptops,ASUS ZenBook,872.06,2,0.05,1656.91,1192.03,464.88,28.06,57.47,Overnight,10,Debit Card,Returned,2,1,2021,828.455,232.44,0.03468504626081079,28.83086827910214
2021-03-01,2021,March,Q1,Spring,Female,Premium,Asia,Japan,Home & Kitchen,Furniture,TV Stand,418.09,1,0.05,397.19,195.97,201.22,50.66,75.46,Overnight,24,Debit Card,Processing,3,1,2021,397.19,201.22,0.18998464211082855,5.26358335542009
2021-03-03,2021,March,Q1,Spring,Male,Regular,North America,Canada,Home & Kitchen,Appliances,Rice Cooker,78.51,1,0.3,54.96,47.93,7.03,12.79,84.07,Overnight,5,Cash on Delivery,Delivered,3,1,2021,54.96,7.03,1.5296579330422124,0.6537409301772333
2021-03-04,2021,March,Q1,Spring,Male,New,Europe,Italy,Home & Kitchen,Appliances,Rice Cooker,51.74,2,0.5,51.74,61.2,-9.46,-18.28,6.41,Standard,13,Cash on Delivery,Delivered,3,1,2021,25.87,-4.73,0.12388867413993042,8.07176287051482
2021-03-09,2021,March,Q1,Spring,Male,Regular,Asia,Japan,Home & Kitchen,Kitchen Tools,Non-stick Pan Set,121.74,1,0.0,121.74,83.38,38.36,31.51,22.3,Express,16,Apple Pay,Delivered,3,1,2021,121.74,38.36,0.18317726301954987,5.459192825112107
2021-03-12,2021,March,Q1,Spring,Male,Regular,North America,Mexico,Books & Media,Software,Microsoft Office 365,217.02,2,0.05,412.34,273.3,139.04,33.72,2.15,Economy,6,Bank Transfer,Returned,3,1,2021,206.17,69.52,0.005214143667846923,191.78604651162792
2021-03-13,2021,March,Q1,Spring,Male,Premium,North America,Canada,Clothing,Footwear,Nike Air Max,179.66,1,0.0,179.66,105.83,73.83,41.09,52.34,Overnight,5,Bank Transfer,Cancelled,3,1,2021,179.66,73.83,0.29132806412111767,3.432556362246847
2021-03-14,2021,March,Q1,Spring,Female,Premium,North America,USA,Books & Media,Books,The Psychology of Money,29.56,1,0.0,29.56,13.88,15.68,53.04,77.19,Overnight,5,Credit Card,Delivered,3,1,2021,29.56,15.68,2.611299052774019,0.3829511594766161
2021-03-15,2021,March,Q1,Spring,Female,Regular,Middle East,UAE,Beauty & Health,Skincare,Sunscreen SPF50,43.82,4,0.0,175.28,99.39,75.89,43.3,7.35,Standard,17,PayPal,Delivered,3,1,2021,43.82,18.9725,0.04193290734824281,23.847619047619048
2021-03-16,2021,March,Q1,Spring,Female,Premium,North America,Canada,Home & Kitchen,Appliances,Air Fryer 5.5L,295.58,1,0.15,251.24,144.85,106.39,42.35,14.43,Standard,8,PayPal,Cancelled,3,1,2021,251.24,106.39,0.05743512179589237,17.410949410949414
2021-03-18,2021,March,Q1,Spring,Male,Premium,Asia,China,Books & Media,Software,Photo Editing Suite,220.47,10,0.3,1543.29,1498.76,44.53,2.89,19.8,Standard,19,Google Pay,Delivered,3,1,2021,154.329,4.453,0.01282973388021694,77.94393939393939
2021-03-18,2021,March,Q1,Spring,Female,Regular,Asia,Singapore,Clothing,Men's Wear,Formal Shirt,90.44,2,0.0,180.88,91.94,88.94,49.17,31.03,Express,13,Google Pay,Cancelled,3,1,2021,90.44,44.47,0.1715501990269792,5.829197550757331
2021-03-18,2021,March,Q1,Spring,Male,Regular,Asia,Japan,Beauty & Health,Skincare,Retinol Night Cream,31.34,2,0.1,56.41,39.51,16.9,29.96,6.74,Standard,12,Google Pay,Delivered,3,1,2021,28.205,8.45,0.11948236128346039,8.369436201780415
2021-03-19,2021,March,Q1,Spring,Male,VIP,North America,Mexico,Electronics,Tablets,Amazon Fire HD 10,413.42,2,0.0,826.84,537.4,289.44,35.01,63.53,Overnight,7,Credit Card,Delivered,3,1,2021,413.42,144.72,0.07683469595084902,13.014953565244767
2021-03-19,2021,March,Q1,Spring,Female,Regular,Asia,India,Beauty & Health,Skincare,Retinol Night Cream,26.14,3,0.0,78.42,54.4,24.02,30.63,2.09,Economy,17,Cash on Delivery,Delivered,3,1,2021,26.14,8.006666666666666,0.026651364447844935,37.52153110047847
2021-03-20,2021,March,Q1,Spring,Male,Premium,North America,Mexico,Home & Kitchen,Kitchen Tools,Non-stick Pan Set,80.43,1,0.2,64.34,46.16,18.18,28.26,9.94,Economy,7,Debit Card,Delivered,3,1,2021,64.34,18.18,0.1544917625116568,6.472837022132797
2021-03-21,2021,March,Q1,Spring,Female,New,Middle East,Kuwait,Clothing,Footwear,Nike Air Max,90.96,1,0.5,45.48,67.12,-21.64,-47.58,93.86,Overnight,9,Apple Pay,Delivered,3,1,2021,45.48,-21.64,2.063764291996482,0.48455145962071167
2021-03-22,2021,March,Q1,Spring,Female,New,Middle East,Saudi Arabia,Beauty & Health,Skincare,Sunscreen SPF50,87.79,1,0.1,79.01,62.54,16.47,20.85,85.45,Overnight,8,Credit Card,Delivered,3,1,2021,79.01,16.47,1.0815086697886342,0.9246342890579287
2021-03-23,2021,March,Q1,Spring,Male,Regular,North America,Mexico,Beauty & Health,Supplements,Whey Protein 2kg,62.55,1,0.15,53.17,41.11,12.06,22.68,45.17,Express,6,PayPal,Returned,3,1,2021,53.17,12.06,0.8495392138423923,1.1771087004649103
2021-03-26,2021,March,Q1,Spring,Female,Regular,Europe,UK,Home & Kitchen,Furniture,Bedside Table,495.71,2,0.1,892.28,449.57,442.71,49.62,91.3,Overnight,10,PayPal,Delivered,3,1,2021,446.14,221.355,0.10232214103196306,9.773055859802847
2021-03-27,2021,March,Q1,Spring,Female,Regular,Europe,Spain,Home & Kitchen,Appliances,Air Fryer 5.5L,164.71,7,0.5,576.49,569.73,6.76,1.17,81.19,Overnight,7,Credit Card,Delivered,3,1,2021,82.35571428571428,0.9657142857142856,0.14083505351350414,7.100504988299052
2021-03-28,2021,March,Q1,Spring,Female,New,Europe,UK,Clothing,Men's Wear,Classic T-Shirt,90.18,1,0.25,67.64,41.58,26.06,38.53,46.57,Express,10,Apple Pay,Delivered,3,1,2021,67.64,26.06,0.6884979302188055,1.4524371913248872
2021-03-28,2021,March,Q1,Spring,Female,Premium,North America,USA,Books & Media,Software,Antivirus Pro,99.79,2,0.2,159.66,145.98,13.68,8.57,94.82,Overnight,6,Credit Card,Delivered,3,1,2021,79.83,6.84,0.593887009896029,1.6838219784855517
2021-03-31,2021,March,Q1,Spring,Female,Premium,Europe,Spain,Electronics,Headphones,JBL Tune 760NC,296.47,2,0.5,296.47,311.48,-15.01,-5.06,5.11,Economy,12,Apple Pay,Delivered,3,1,2021,148.235,-7.505,0.01723614530981212,58.01761252446184
2021-03-31,2021,March,Q1,Spring,Female,New,Europe,UK,Home & Kitchen,Kitchen Tools,Cutting Board Set,69.98,9,0.0,629.82,371.26,258.56,41.05,2.49,Economy,11,Google Pay,Returned,3,1,2021,69.98,28.72888888888889,0.003953510526817186,252.93975903614458
2021-03-31,2021,March,Q1,Spring,Female,VIP,Asia,Japan,Beauty & Health,Supplements,Multivitamin Pack,68.39,3,0.25,153.88,109.45,44.43,28.87,43.36,Express,18,Google Pay,Delivered,3,1,2021,51.29333333333333,14.81,0.28177800883805565,3.548892988929889
2021-04-01,2021,April,Q2,Spring,Male,Regular,Middle East,Saudi Arabia,Home & Kitchen,Appliances,Microwave Oven,35.23,4,0.3,98.64,65.62,33.02,33.48,16.72,Standard,17,PayPal,Delivered,4,2,2021,24.66,8.255,0.1695052716950527,5.899521531100479
2021-04-01,2021,April,Q2,Spring,Male,Regular,Europe,France,Beauty & Health,Skincare,Vitamin C Serum,20.38,1,0.3,14.27,15.19,-0.92,-6.45,60.46,Overnight,6,Bank Transfer,Returned,4,2,2021,14.27,-0.92,4.236860546601261,0.23602381739993383
2021-04-02,2021,April,Q2,Spring,Female,New,Asia,Singapore,Books & Media,Software,Microsoft Office 365,209.24,1,0.25,156.93,156.04,0.89,0.57,57.57,Overnight,20,Google Pay,Delivered,4,2,2021,156.93,0.89,0.3668514624354808,2.725898905680042
2021-04-02,2021,April,Q2,Spring,Male,Regular,Asia,South Korea,Clothing,Women's Wear,Maxi Skirt,130.16,1,0.1,117.14,82.77,34.37,29.34,92.57,Overnight,20,Google Pay,Delivered,4,2,2021,117.14,34.37,0.7902509817312616,1.2654207626660907
2021-04-02,2021,April,Q2,Spring,Male,New,North America,Canada,Electronics,Laptops,Dell XPS 15,1669.26,9,0.25,11267.51,10736.48,531.03,4.71,19.44,Standard,9,Google Pay,Cancelled,4,2,2021,1251.9455555555555,59.00333333333333,0.0017253146436080377,579.6044238683128
2021-04-03,2021,April,Q2,Spring,Female,Regular,North America,Canada,Electronics,Smartphones,OnePlus 11,801.88,3,0.3,1683.95,1664.06,19.89,1.18,8.92,Standard,6,Bank Transfer,Delivered,4,2,2021,561.3166666666667,6.63,0.00529706939042133,188.78363228699553
2021-04-05,2021,April,Q2,Spring,Female,Premium,Middle East,Jordan,Home & Kitchen,Furniture,TV Stand,169.19,2,0.1,304.54,235.06,69.48,22.81,24.52,Express,8,Apple Pay,Delivered,4,2,2021,152.27,34.74,0.08051487489328166,12.420065252854814
2021-04-05,2021,April,Q2,Spring,Female,Premium,Europe,France,Clothing,Men's Wear,Classic T-Shirt,65.88,1,0.0,65.88,30.77,35.11,53.29,86.25,Overnight,9,PayPal,Delivered,4,2,2021,65.88,35.11,1.3091985428051003,0.7638260869565217
2021-04-08,2021,April,Q2,Spring,Male,Regular,Asia,China,Books & Media,Software,Antivirus Pro,180.18,1,0.5,90.09,101.91,-11.82,-13.12,34.33,Express,21,Debit Card,Cancelled,4,2,2021,90.09,-11.82,0.38106338106338106,2.624235362656569
2021-04-08,2021,April,Q2,Spring,Male,Regular,North America,USA,Home & Kitchen,Furniture,Bedside Table,195.86,8,0.3,1096.82,1112.43,-15.61,-1.42,16.44,Standard,6,PayPal,Delivered,4,2,2021,137.1025,-1.95125,0.01498878576247698,66.71654501216544
2021-04-09,2021,April,Q2,Spring,Female,Regular,Asia,Singapore,Beauty & Health,Skincare,Sunscreen SPF50,21.1,9,0.05,180.41,87.26,93.15,51.63,19.33,Standard,18,Google Pay,Returned,4,2,2021,20.045555555555556,10.350000000000001,0.10714483676071171,9.333160889808589
2021-04-11,2021,April,Q2,Spring,Female,Regular,Europe,UK,Beauty & Health,Supplements,Whey Protein 2kg,45.06,1,0.0,45.06,23.36,21.7,48.16,16.53,Standard,11,Cash on Delivery,Returned,4,2,2021,45.06,21.7,0.36684420772303594,2.7259528130671504
2021-04-12,2021,April,Q2,Spring,Male,Regular,Europe,Italy,Clothing,Footwear,Puma Running Shoes,72.42,1,0.5,36.21,48.36,-12.15,-33.55,8.9,Standard,7,Bank Transfer,Processing,4,2,2021,36.21,-12.15,0.24578845622756146,4.068539325842696
2021-04-12,2021,April,Q2,Spring,Male,Regular,Asia,China,Books & Media,Books,Atomic Habits,16.18,1,0.5,8.09,11.94,-3.85,-47.59,45.3,Express,10,Google Pay,Delivered,4,2,2021,8.09,-3.85,5.599505562422744,0.17858719646799118
2021-04-12,2021,April,Q2,Spring,Female,Regular,Asia,Japan,Beauty & Health,Supplements,Collagen Peptides,34.23,2,0.1,61.61,31.26,30.35,49.26,13.49,Standard,11,Cash on Delivery,Delivered,4,2,2021,30.805,15.175,0.2189579613699075,4.567086730911786
2021-04-13,2021,April,Q2,Spring,Female,Premium,Middle East,UAE,Beauty & Health,Supplements,Multivitamin Pack,49.93,2,0.0,99.86,71.67,28.19,28.23,19.29,Standard,11,Apple Pay,Delivered,4,2,2021,49.93,14.095,0.19317043861405966,5.1767755313634005
2021-04-14,2021,April,Q2,Spring,Female,Regular,North America,Canada,Books & Media,Books,Deep Work,33.17,3,0.3,69.66,45.86,23.8,34.17,37.97,Express,7,Bank Transfer,Processing,4,2,2021,23.22,7.933333333333334,0.5450760838357738,1.8346062681063997
2021-04-15,2021,April,Q2,Spring,Male,Regular,Europe,UK,Books & Media,Software,Photo Editing Suite,208.91,1,0.5,104.45,152.67,-48.22,-46.17,38.38,Express,14,Debit Card,Returned,4,2,2021,104.45,-48.22,0.36744853997127813,2.72146951537259
2021-04-15,2021,April,Q2,Spring,Female,Premium,Asia,South Korea,Clothing,Footwear,Puma Running Shoes,195.98,2,0.0,391.96,251.19,140.77,35.91,37.65,Express,18,Debit Card,Delivered,4,2,2021,195.98,70.385,0.09605571997142566,10.41062416998672
2021-04-16,2021,April,Q2,Spring,Female,New,North America,Mexico,Electronics,Smartphones,iPhone 14,464.24,2,0.1,835.63,595.36,240.27,28.75,9.79,Standard,7,Google Pay,Cancelled,4,2,2021,417.815,120.135,0.011715711499108456,85.35546475995915
2021-04-18,2021,April,Q2,Spring,Male,Regular,Middle East,UAE,Clothing,Men's Wear,Slim Fit Jeans,72.01,2,0.3,100.81,105.9,-5.09,-5.05,40.37,Express,7,Cash on Delivery,Returned,4,2,2021,50.405,-2.545,0.40045630393810133,2.497151350012386
2021-04-18,2021,April,Q2,Spring,Female,New,North America,Canada,Books & Media,Books,Atomic Habits,16.71,2,0.3,23.39,21.18,2.21,9.45,62.99,Overnight,10,Apple Pay,Delivered,4,2,2021,11.695,1.105,2.6930312099187685,0.3713287823464042
2021-04-18,2021,April,Q2,Spring,Female,Premium,North America,Mexico,Books & Media,Books,The Psychology of Money,29.66,5,0.05,140.88,109.13,31.75,22.54,30.3,Express,9,Debit Card,Delivered,4,2,2021,28.176,6.35,0.21507666098807496,4.649504950495049
2021-04-20,2021,April,Q2,Spring,Female,Premium,North America,Mexico,Books & Media,Books,Thinking Fast and Slow,25.67,5,0.0,128.35,73.71,54.64,42.57,10.51,Standard,6,Apple Pay,Delivered,4,2,2021,25.669999999999998,10.928,0.0818854694195559,12.212178877259753
2021-04-21,2021,April,Q2,Spring,Male,New,Europe,UK,Home & Kitchen,Furniture,Bookshelf 5-Tier,81.54,2,0.1,146.77,93.68,53.09,36.17,42.16,Express,12,PayPal,Delivered,4,2,2021,73.385,26.545,0.28725216324862024,3.4812618595825433
2021-04-22,2021,April,Q2,Spring,Female,Regular,Asia,Singapore,Clothing,Footwear,Nike Air Max,117.29,2,0.2,187.66,134.35,53.31,28.41,98.91,Overnight,14,Debit Card,Delivered,4,2,2021,93.83,26.655,0.5270702334008313,1.897280355879082
2021-04-22,2021,April,Q2,Spring,Female,Regular,Asia,India,Beauty & Health,Skincare,Vitamin C Serum,45.0,1,0.3,31.5,25.29,6.21,19.71,13.1,Standard,22,Bank Transfer,Delivered,4,2,2021,31.5,6.21,0.41587301587301584,2.404580152671756
2021-04-22,2021,April,Q2,Spring,Female,New,North America,Mexico,Clothing,Footwear,Adidas Ultraboost,50.87,1,0.2,40.7,31.28,9.42,23.14,12.63,Standard,3,Cash on Delivery,Delivered,4,2,2021,40.7,9.42,0.3103194103194103,3.222486144101346
2021-04-22,2021,April,Q2,Spring,Male,New,Middle East,Saudi Arabia,Electronics,Laptops,MacBook Air M2,790.54,8,0.3,4427.02,3447.56,979.46,22.12,38.06,Express,18,Debit Card,Returned,4,2,2021,553.3775,122.4325,0.008597205343549385,116.31686810299527
2021-04-23,2021,April,Q2,Spring,Female,Regular,North America,Canada,Home & Kitchen,Kitchen Tools,Non-stick Pan Set,83.38,5,0.2,333.52,256.03,77.49,23.23,7.84,Standard,8,PayPal,Delivered,4,2,2021,66.704,15.498,0.023506836171743824,42.54081632653061
2021-04-26,2021,April,Q2,Spring,Male,New,Middle East,Kuwait,Clothing,Women's Wear,High-Waist Jeans,123.25,10,0.0,1232.5,723.81,508.69,41.27,22.33,Express,14,PayPal,Delivered,4,2,2021,123.25,50.869,0.018117647058823527,55.1948051948052
2021-04-27,2021,April,Q2,Spring,Female,Regular,Europe,Spain,Books & Media,Software,Adobe Creative Cloud,149.96,2,0.0,299.92,159.32,140.6,46.88,5.89,Standard,12,Bank Transfer,Delivered,4,2,2021,149.96,70.3,0.01963857028540944,50.92020373514432
2021-04-27,2021,April,Q2,Spring,Female,VIP,Europe,France,Books & Media,Software,Adobe Creative Cloud,112.05,1,0.15,95.24,83.09,12.15,12.76,5.22,Economy,8,Cash on Delivery,Delivered,4,2,2021,95.24,12.15,0.05480890382192356,18.245210727969347
2021-04-28,2021,April,Q2,Spring,Female,Regular,North America,Mexico,Electronics,Headphones,Sony WH-1000XM5,240.82,2,0.3,337.15,350.16,-13.01,-3.86,79.82,Overnight,3,Cash on Delivery,Delivered,4,2,2021,168.575,-6.505,0.23674922141480054,4.223878727136056
2021-04-28,2021,April,Q2,Spring,Female,Regular,Europe,Italy,Home & Kitchen,Appliances,Blender Pro,100.38,1,0.1,90.34,45.74,44.6,49.37,3.17,Economy,11,Debit Card,Delivered,4,2,2021,90.34,44.6,0.03508966127961036,28.498422712933756
2021-04-28,2021,April,Q2,Spring,Female,Premium,Middle East,Kuwait,Beauty & Health,Skincare,Hyaluronic Acid,67.4,3,0.2,161.76,139.28,22.48,13.9,10.87,Standard,9,Debit Card,Delivered,4,2,2021,53.919999999999995,7.493333333333333,0.06719831849653808,14.88132474701012
2021-04-28,2021,April,Q2,Spring,Male,New,North America,USA,Electronics,Headphones,AirPods Pro,95.91,1,0.4,57.55,48.05,9.5,16.51,41.61,Express,3,Apple Pay,Delivered,4,2,2021,57.55,9.5,0.723023457862728,1.3830809901465992
2021-04-28,2021,April,Q2,Spring,Female,Regular,Middle East,Jordan,Beauty & Health,Skincare,Retinol Night Cream,77.13,4,0.05,293.09,189.72,103.37,35.27,19.64,Standard,8,Google Pay,Delivered,4,2,2021,73.2725,25.8425,0.067010133406121,14.923116089613034
2021-04-28,2021,April,Q2,Spring,Female,Premium,Asia,South Korea,Home & Kitchen,Furniture,TV Stand,537.59,1,0.15,456.95,390.85,66.1,14.47,5.62,Economy,14,Credit Card,Delivered,4,2,2021,456.95,66.1,0.012298938614728088,81.30782918149465
2021-04-28,2021,April,Q2,Spring,Female,Regular,North America,Canada,Electronics,Smartphones,iPhone 14,427.82,2,0.0,855.64,478.03,377.61,44.13,75.99,Overnight,9,Debit Card,Delivered,4,2,2021,427.82,188.805,0.08881071478659248,11.259902618765627
2021-04-29,2021,April,Q2,Spring,Female,Regular,Asia,India,Electronics,Laptops,Lenovo ThinkPad X1,825.08,1,0.0,825.08,592.14,232.94,28.23,55.45,Overnight,10,Credit Card,Cancelled,4,2,2021,825.08,232.94,0.06720560430503708,14.879711451758341
2021-04-30,2021,April,Q2,Spring,Male,Regular,Middle East,Jordan,Home & Kitchen,Appliances,Coffee Maker,218.68,1,0.3,153.08,125.42,27.66,18.07,12.41,Standard,8,PayPal,Delivered,4,2,2021,153.08,27.66,0.08106872223673896,12.335213537469784
2021-04-30,2021,April,Q2,Spring,Female,Regular,Middle East,Jordan,Books & Media,Software,Adobe Creative Cloud,75.35,7,0.0,527.45,308.78,218.67,41.46,9.62,Standard,13,Credit Card,Returned,4,2,2021,75.35000000000001,31.238571428571426,0.01823869561095838,54.82848232848234
2021-04-30,2021,April,Q2,Spring,Male,Premium,Europe,Spain,Books & Media,Books,Deep Work,28.18,1,0.2,22.54,18.76,3.78,16.77,42.64,Express,6,Debit Card,Returned,4,2,2021,22.54,3.78,1.8917480035492458,0.5286116322701688
2021-05-01,2021,May,Q2,Spring,Male,Regular,North America,USA,Clothing,Women's Wear,Yoga Pants,118.86,1,0.15,101.03,69.44,31.59,31.27,83.83,Overnight,6,Cash on Delivery,Delivered,5,2,2021,101.03,31.59,0.829753538552905,1.2051771442204462
2021-05-01,2021,May,Q2,Spring,Male,New,Europe,Germany,Clothing,Footwear,Nike Air Max,75.85,4,0.0,303.4,196.19,107.21,35.34,2.84,Economy,11,Apple Pay,Returned,5,2,2021,75.85,26.8025,0.009360580092287409,106.83098591549296
2021-05-02,2021,May,Q2,Spring,Male,VIP,Middle East,Egypt,Books & Media,Software,Microsoft Office 365,28.93,4,0.15,98.36,56.13,42.23,42.93,86.96,Overnight,13,Cash on Delivery,Delivered,5,2,2021,24.59,10.5575,0.8840992273281821,1.1310947562097518
2021-05-02,2021,May,Q2,Spring,Male,Regular,Europe,Germany,Clothing,Footwear,Converse Chuck Taylor,164.04,2,0.0,328.08,151.93,176.15,53.69,17.28,Standard,6,Cash on Delivery,Delivered,5,2,2021,164.04,88.075,0.0526700804681785,18.98611111111111
2021-05-02,2021,May,Q2,Spring,Male,VIP,Middle East,Jordan,Clothing,Footwear,Nike Air Max,54.8,1,0.4,32.88,41.08,-8.2,-24.94,27.27,Express,8,Debit Card,Delivered,5,2,2021,32.88,-8.2,0.8293795620437956,1.2057205720572057
2021-05-02,2021,May,Q2,Spring,Male,Regular,North America,Canada,Electronics,Headphones,Samsung Galaxy Buds,262.25,2,0.15,445.82,243.11,202.71,45.47,77.6,Overnight,3,Bank Transfer,Returned,5,2,2021,222.91,101.355,0.17406128033735588,5.745103092783506
2021-05-02,2021,May,Q2,Spring,Female,Premium,North America,Mexico,Electronics,Tablets,Samsung Galaxy Tab S9,1025.38,2,0.3,1435.53,1370.68,64.85,4.52,15.24,Standard,3,Debit Card,Delivered,5,2,2021,717.765,32.425,0.010616288060855572,94.19488188976378
2021-05-02,2021,May,Q2,Spring,Female,Regular,Middle East,UAE,Books & Media,Books,Deep Work,37.8,7,0.1,238.14,171.9,66.24,27.82,9.46,Standard,8,Credit Card,Delivered,5,2,2021,34.019999999999996,9.462857142857143,0.039724531788023855,25.17336152219873
